task,model,input_source,split,accuracy,f1_macro,f1_weighted,auc_roc,train_seconds,notes
class_action,lr,long_ref,val,0.9006,0.8982,0.9012,0.978,1.0,LR L2 saga class_weight=balanced | text=long_ref | 2-class
class_action,lr,long_ref,test,0.8942,0.89,0.8955,0.9682,1.0,LR L2 saga class_weight=balanced | text=long_ref | 2-class
class_action,nb,long_ref,val,0.8509,0.8484,0.8522,0.9521,1.0,ComplementNB(alpha=0.3) | text=long_ref | 2-class
class_action,nb,long_ref,test,0.8141,0.8088,0.817,0.9199,1.0,ComplementNB(alpha=0.3) | text=long_ref | 2-class
case_type,lr,long_ref,val,0.7391,0.6538,0.7332,0.9719,17.2,LR L2 saga class_weight=balanced | text=long_ref | 5-class
case_type,lr,long_ref,test,0.7596,0.6298,0.7404,0.971,17.2,LR L2 saga class_weight=balanced | text=long_ref | 5-class
case_type,nb,long_ref,val,0.7453,0.6602,0.738,0.9692,1.0,ComplementNB(alpha=0.3) | text=long_ref | 5-class
case_type,nb,long_ref,test,0.7756,0.684,0.7644,0.9442,1.0,ComplementNB(alpha=0.3) | text=long_ref | 5-class
class_action,lstm,long_ref,val,0.9068,0.9000,0.9051,0.9313,31.6,BiLSTM(128)+Word2Vec(300) | text=long_ref | 2-class
class_action,lstm,long_ref,test,0.8718,0.8565,0.8685,0.9286,31.6,BiLSTM(128)+Word2Vec(300) | text=long_ref | 2-class
case_type,lstm,long_ref,val,0.6957,0.6374,0.6981,0.8875,29.8,BiLSTM(128)+Word2Vec(300) | text=long_ref | 5-class
case_type,lstm,long_ref,test,0.7436,0.6364,0.7401,0.9141,29.8,BiLSTM(128)+Word2Vec(300) | text=long_ref | 5-class
class_action,bert,long_ref,val,0.9503,0.9478,0.9500,0.9683,88.2,BERT=nlpaueb/legal-bert-base-uncased | text=long_ref | 2-class
class_action,bert,long_ref,test,0.9519,0.9484,0.9519,0.9714,88.2,BERT=nlpaueb/legal-bert-base-uncased | text=long_ref | 2-class
case_type,bert,long_ref,val,0.8696,0.8531,0.8693,0.9660,80.6,BERT=nlpaueb/legal-bert-base-uncased | text=long_ref | 5-class
case_type,bert,long_ref,test,0.8974,0.8539,0.8965,0.9717,80.6,BERT=nlpaueb/legal-bert-base-uncased | text=long_ref | 5-class
